cycle,time_ns,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real
389,3995.000000,0,0,0,0,0.346680,0.404053
390,4005.000000,0,0,0,0,0.347656,0.403809
391,4015.000000,0,0,0,0,0.347168,0.402100
392,4025.000000,0,0,0,0,0.345703,0.399414
393,4035.000000,0,0,0,0,0.343018,0.395508
394,4045.000000,0,0,0,0,0.339355,0.390625
395,4055.000000,0,0,0,0,0.334961,0.384766
396,4065.000000,0,0,0,0,0.329834,0.378174
397,4075.000000,0,0,0,0,0.323975,0.371094
398,4085.000000,0,0,0,0,0.317627,0.363770
399,4095.000000,1,1,0,0,0.310791,0.355957
400,4105.000000,1,1,0,0,0.303711,0.347656
401,4115.000000,0,0,0,0,0.296387,0.338867
402,4125.000000,0,0,0,0,0.599609,0.684570
403,4135.000000,0,0,1,1,0.000000,0.000000
404,4145.000000,0,0,0,0,0.000000,0.000000
405,4155.000000,0,0,0,0,0.000000,0.000000
406,4165.000000,0,0,0,0,0.000000,0.000000
407,4175.000000,0,0,0,0,0.000000,0.000000
408,4185.000000,0,0,0,0,0.543701,0.322021
409,4195.000000,0,0,1,0,0.000000,0.610596
410,4205.000000,0,0,0,0,0.000000,0.867676
411,4215.000000,0,0,0,1,0.000000,0.000000
412,4225.000000,0,0,0,0,0.000000,0.000000
413,4235.000000,0,0,0,0,0.000000,0.000000
414,4245.000000,0,0,0,0,0.329102,0.000000
415,4255.000000,0,0,0,0,0.618652,0.000000
416,4265.000000,0,0,0,0,0.872070,0.185059
417,4275.000000,0,0,1,0,0.000000,0.349609
418,4285.000000,0,0,0,0,0.000000,0.495361
419,4295.000000,0,0,0,0,0.000000,0.624023
420,4305.000000,0,0,0,0,0.000000,0.737061
421,4315.000000,0,0,0,0,0.000000,0.835693
422,4325.000000,0,0,0,0,0.168213,0.920898
423,4335.000000,0,0,0,0,0.315918,0.993896
424,4345.000000,0,0,0,1,0.445312,0.000000
425,4355.000000,0,0,0,0,0.557861,0.000000
426,4365.000000,0,0,0,0,0.655518,0.000000
427,4375.000000,0,0,0,0,0.739502,0.000000
428,4385.000000,0,0,0,0,0.811035,0.000000
429,4395.000000,0,0,0,0,0.871338,0.069336
430,4405.000000,0,0,0,0,0.921875,0.130371
431,4415.000000,0,0,0,0,0.963135,0.184082
432,4425.000000,0,0,0,0,0.996582,0.230957
433,4435.000000,0,0,1,0,0.000000,0.271973
434,4445.000000,0,0,0,0,0.000000,0.307617
435,4455.000000,0,0,0,0,0.000000,0.338135
436,4465.000000,0,0,0,0,0.000000,0.364014
437,4475.000000,0,0,0,0,0.000000,0.385986
438,4485.000000,0,0,0,0,0.043213,0.404297
439,4495.000000,0,0,0,0,0.080811,0.419189
440,4505.000000,0,0,0,0,0.113770,0.431152
441,4515.000000,0,0,0,0,0.142578,0.440430
442,4525.000000,0,0,0,0,0.167480,0.447021
443,4535.000000,1,1,0,0,0.188721,0.451416
444,4545.000000,1,1,0,0,0.206787,0.453857
445,4555.000000,0,1,0,0,0.221924,0.454834
446,4565.000000,0,0,0,0,0.550293,0.812256
447,4575.000000,0,0,1,1,0.000000,0.000000
448,4585.000000,0,0,0,0,0.000000,0.000000
449,4595.000000,0,0,0,0,0.000000,0.000000
450,4605.000000,0,0,0,0,0.000000,0.000000
451,4615.000000,0,0,0,0,0.000000,0.000000
452,4625.000000,0,0,0,0,0.651855,0.589111
453,4635.000000,0,0,1,1,0.000000,0.000000
454,4645.000000,0,0,0,0,0.000000,0.000000
455,4655.000000,0,0,0,0,0.000000,0.000000
456,4665.000000,0,0,0,0,0.000000,0.000000
457,4675.000000,0,0,0,0,0.000000,0.000000
458,4685.000000,0,0,0,0,0.394531,0.375488
459,4695.000000,0,0,0,0,0.741455,0.708252
460,4705.000000,0,0,1,1,0.000000,0.000000
461,4715.000000,0,0,0,0,0.000000,0.000000
462,4725.000000,0,0,0,0,0.000000,0.000000
