cycle,time_ns,i_in_real,v_mem_real,exp_vmem_real,exp_vmem_pre_real,spike,exp_spike,exc_delayed_real,inh_delayed_real
233,2375.000000,0.000000,0.634033,0.634033,0.634033,0,0,0.000000,0.000000
234,2385.000000,0.000000,0.608643,0.608643,0.608643,0,0,0.000000,0.000000
235,2395.000000,0.000000,0.584229,0.584229,0.584229,0,0,0.000000,0.000000
236,2405.000000,0.000000,0.560791,0.560791,0.560791,0,0,0.000000,0.000000
237,2415.000000,0.000000,0.538330,0.538330,0.538330,0,0,0.000000,0.000000
238,2425.000000,0.000000,0.516602,0.516602,0.516602,0,0,0.000000,0.000000
239,2435.000000,0.000000,0.495850,0.495850,0.495850,0,0,0.000000,0.000000
240,2445.000000,0.000000,0.475830,0.475830,0.475830,0,0,0.000000,0.000000
241,2455.000000,0.000000,0.456543,0.456543,0.456543,0,0,0.000000,0.000000
242,2465.000000,0.000000,0.438232,0.438232,0.438232,0,0,0.000000,0.000000
243,2475.000000,0.000000,0.420654,0.420654,0.420654,0,0,0.000000,0.000000
244,2485.000000,0.449951,0.403809,0.403809,0.403809,0,0,0.449951,0.000000
245,2495.000000,0.000000,0.837402,0.837402,0.837402,0,0,0.000000,0.000000
246,2505.000000,0.000000,0.803711,0.803711,0.803711,0,0,0.000000,0.000000
247,2515.000000,0.000000,0.771484,0.771484,0.771484,0,0,0.000000,0.000000
248,2525.000000,0.000000,0.740479,0.740479,0.740479,0,0,0.000000,0.000000
249,2535.000000,0.000000,0.710693,0.710693,0.710693,0,0,0.000000,0.000000
250,2545.000000,0.000000,0.682129,0.682129,0.682129,0,0,0.000000,0.000000
251,2555.000000,0.000000,0.654785,0.654785,0.654785,0,0,0.000000,0.000000
252,2565.000000,0.000000,0.628418,0.628418,0.628418,0,0,0.000000,0.000000
253,2575.000000,0.000000,0.603027,0.603027,0.603027,0,0,0.000000,0.000000
254,2585.000000,0.000000,0.578857,0.578857,0.578857,0,0,0.000000,0.000000
255,2595.000000,0.000000,0.555664,0.555664,0.555664,0,0,0.000000,0.000000
256,2605.000000,0.000000,0.533203,0.533203,0.533203,0,0,0.000000,0.000000
257,2615.000000,0.449951,0.511719,0.511719,0.511719,0,0,0.449951,0.000000
258,2625.000000,0.000000,0.941162,0.941162,0.941162,0,0,0.000000,0.000000
259,2635.000000,0.000000,0.903320,0.903320,0.903320,0,0,0.000000,0.000000
260,2645.000000,0.000000,0.866943,0.866943,0.866943,0,0,0.000000,0.000000
261,2655.000000,0.000000,0.832031,0.832031,0.832031,0,0,0.000000,0.000000
262,2665.000000,0.000000,0.798584,0.798584,0.798584,0,0,0.000000,0.000000
263,2675.000000,0.000000,0.766602,0.766602,0.766602,0,0,0.000000,0.000000
264,2685.000000,0.000000,0.735840,0.735840,0.735840,0,0,0.000000,0.000000
265,2695.000000,0.000000,0.706299,0.706299,0.706299,0,0,0.000000,0.000000
266,2705.000000,0.000000,0.677979,0.677979,0.677979,0,0,0.000000,0.000000
