cycle,time_ns,scene,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real,n0_i_real,n1_i_real,n0_g_exc_real,n1_g_exc_real
159,1590.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.975586,-0.412842,0.000000,0.000000
160,1600.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.976562,-0.412842,0.000000,0.000000
161,1610.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.977295,-0.412842,0.000000,0.000000
162,1620.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.978027,-0.412842,0.000000,0.000000
163,1630.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.978516,-0.412842,0.000000,0.000000
164,1640.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.979004,-0.412842,0.000000,0.000000
165,1650.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.979492,-0.412842,0.000000,0.000000
166,1660.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.979980,-0.412842,0.000000,0.000000
167,1670.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.980225,-0.412842,0.000000,0.000000
168,1680.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.980469,-0.412842,0.000000,0.000000
169,1690.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.980713,-0.412842,0.000000,0.000000
170,1700.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.980957,-0.412842,0.000000,0.000000
171,1710.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981201,-0.412842,0.000000,0.000000
172,1720.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981445,-0.412842,0.000000,0.000000
173,1730.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981689,-0.412842,0.000000,0.000000
174,1740.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
175,1750.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
176,1760.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
177,1770.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
